Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,DE,CH,XX,12,,derivatives,,L,I
2014,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,US,CH,XX,11,,garments,,L,I
2014,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,ZA,DK,,,2,specimens,,M,C
2014,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,US,GB,XX,5,,specimens,,M,I
2014,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,US,FR,,,78,specimens,g,M,C
2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,XX,4,6,ivory carvings,,L,I
2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,XX,2,2,tusks,,L,I
2014,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,CA,XX,14,14,ivory carvings,,L,I
2014,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,KE,XX,1848,,ivory pieces,,L,I
2014,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,KE,,,45,ivory pieces,kg,L,W
2014,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,MY,XX,382,472,ivory pieces,,L,I
2014,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,TG,XX,200,,ivory pieces,,L,I
2014,I,Equus przewalskii,Mammalia,Perissodactyla,Equidae,Equus,MN,CZ,XX,6,,live,,L,W
2014,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,NA,AE,,,70,specimens,,M,C
2014,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,ZA,UA,,1,,live,,M,C
2014,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,KR,BR,,1,,extract,,M,W
2014,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,NA,AE,,,2,specimens,,M,C
2014,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,HK,CN,5460,,medicine,g,M,I
2014,I,Geoclemys hamiltonii,Reptilia,Testudines,Geoemydidae,Geoclemys,PK,CN,,200,,live,,L,I
2014,I,Gorilla gorilla,Mammalia,Primates,Hominidae,Gorilla,US,GB,,,3,specimens,ml,M,F
2014,I,Gorilla gorilla,Mammalia,Primates,Hominidae,Gorilla,US,GB,,3,,specimens,,M,I
2014,I,Gorilla gorilla,Mammalia,Primates,Hominidae,Gorilla,US,MX,,,20,specimens,ml,M,F
2014,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,GB,XX,3,,specimens,,M,I
2014,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,NL,,,48,specimens,,M,F
2014,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,US,DK,NL,,1,specimens,,M,C
2014,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,US,DK,SE,,1,specimens,,M,C
2014,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,US,GB,,,3,specimens,ml,M,C
2014,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,US,GB,,3,,specimens,,M,I
2014,I,Hylobates spp.,Mammalia,Primates,Hylobatidae,Hylobates,US,GB,XX,3,,specimens,,M,I
2014,I,Cyclura collei,Reptilia,Sauria,Iguanidae,Cyclura,US,JM,,,373,specimens,,M,W
2014,I,Cyclura cychlura,Reptilia,Sauria,Iguanidae,Cyclura,US,BS,,151,,specimens,,M,W
2014,I,Cyclura rileyi,Reptilia,Sauria,Iguanidae,Cyclura,BS,GB,,12,,live,,L,I
2014,I,Lemur catta,Mammalia,Primates,Lemuridae,Lemur,NL,CA,,3,,specimens,ml,M,F
2014,I,Ara macao,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,20,specimens,,M,W
2014,I,Ceratotherium simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,UG,,,750,specimens,g,L,W
2014,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,NA,,14,,horns,g,L,W
2014,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,NA,,40,,specimens,,L,I
2014,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,UG,,50,,horns,g,L,W
2014,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,GB,MW,,,2,specimens,kg,M,W
2014,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,US,CA,XX,,12,carvings,,L,I
2014,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,US,CA,XX,12,,horn carvings,,L,I
2014,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,ZA,MW,,,843,specimens,g,M,W
2014,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,ZW,MW,,,2,specimens,,M,W
2014,I,Rhinocerotidae spp.,Mammalia,Perissodactyla,Rhinocerotidae,,US,GB,XX,1,,horn carvings,,L,I
2014,I,Rhinocerotidae spp.,Mammalia,Perissodactyla,Rhinocerotidae,,ZA,CZ,,1,,specimens,,L,U
2014,I,Rhinocerotidae spp.,Mammalia,Perissodactyla,Rhinocerotidae,,ZA,SG,XX,,6,specimens,,L,I
2014,I,Rhinocerotidae spp.,Mammalia,Perissodactyla,Rhinocerotidae,,ZA,SZ,,,1,horns,,L,U
2014,I,Tapirus indicus,Mammalia,Perissodactyla,Tapiridae,Tapirus,ZA,DK,,,1,specimens,,M,C
2014,II,Gyps rueppellii,Aves,Falconiformes,Accipitridae,Gyps,KE,IT,,6,,specimens,ml,M,C
2014,II,Stephanoaetus coronatus,Aves,Falconiformes,Accipitridae,Stephanoaetus,GB,ZA,,,8,live,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,AD,FR,US,,1,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,AE,US,,,1338,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,AR,US,,,430,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,AU,US,,,4002,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BA,US,,,9,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BH,US,,,3132,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BM,US,,,60,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BN,US,,,30,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BO,US,,,11,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,BR,US,,,2055,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CA,US,,,11545,specimens,,M,W
2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,US,,,940,specimens,,M,W
